PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,PUNYA BADUTA,PUNYA BALITA,PUS,PUS HAMIL,AIR MINUM,TEMPAT BUANG AIR,TERLALU MUDA,TERLALU TUA,TERLALU DEKAT,TERLALU BANYAK,KRS
SULAWESI BARAT,MAMASA,SESENAPADANG,MARAMPAN OROBUA,7,22,54,2,0,0,0,8,0,21,24
SULAWESI BARAT,MAMASA,SESENAPADANG,OROBUA,38,67,273,7,8,76,2,55,1,103,226
SULAWESI BARAT,MAMASA,SESENAPADANG,OROBUA SELATAN,12,22,101,3,12,12,1,16,0,40,36
SULAWESI BARAT,MAMASA,SESENAPADANG,OROBUA TIMUR,14,11,65,0,0,15,0,12,0,24,37
SULAWESI BARAT,MAMASA,SESENAPADANG,PALADAN,26,33,112,4,12,11,1,20,3,25,71
SULAWESI BARAT,MAMASA,SESENAPADANG,RANTE PUANG,22,44,164,3,2,12,3,36,2,57,123
SULAWESI BARAT,MAMASA,SESENAPADANG,SATENETEAN,7,13,66,3,3,10,1,13,0,29,25
SULAWESI BARAT,MAMASA,SUMARORONG,BANEA,12,19,88,3,28,0,0,24,1,43,29
SULAWESI BARAT,MAMASA,SUMARORONG,BATANG  URU,11,23,123,3,0,1,0,31,0,53,106
SULAWESI BARAT,MAMASA,SUMARORONG,BATANGNGURU TIMUR,14,38,139,2,0,20,0,32,5,60,111
SULAWESI BARAT,MAMASA,SUMARORONG,RANTE KAMASE,19,54,207,3,2,18,0,53,0,77,184
SULAWESI BARAT,MAMASA,SUMARORONG,SALUBALO,26,48,157,4,12,1,1,29,2,53,113
SULAWESI BARAT,MAMASA,SUMARORONG,SASAKAN,28,62,209,10,2,3,1,52,7,82,100
SULAWESI BARAT,MAMASA,SUMARORONG,SIBANAWA,18,30,141,1,1,2,1,34,3,71,91
SULAWESI BARAT,MAMASA,SUMARORONG,SUMARORONG,14,40,224,10,1,0,0,74,3,71,195
SULAWESI BARAT,MAMASA,SUMARORONG,TABONE,21,39,137,2,7,1,2,26,3,56,111
SULAWESI BARAT,MAMASA,SUMARORONG,TADISI,15,22,65,3,0,1,0,11,3,11,49
SULAWESI BARAT,MAMASA,TABANG,BAKADISURA,15,56,168,3,18,5,2,29,7,55,79
SULAWESI BARAT,MAMASA,TABANG,KALAMA,0,12,95,0,32,6,0,11,1,54,40
SULAWESI BARAT,MAMASA,TABANG,MASUPU,0,12,92,3,31,0,1,19,0,32,51
SULAWESI BARAT,MAMASA,TABANG,SALUKONA,0,27,111,9,1,0,0,18,0,36,96
SULAWESI BARAT,MAMASA,TABANG,TABANG,1,26,159,0,45,0,0,46,0,53,91
SULAWESI BARAT,MAMASA,TABANG,TABANG BARAT,9,48,302,0,28,143,0,73,0,106,162
SULAWESI BARAT,MAMASA,TABANG,TADOKALUA,17,24,135,5,28,40,4,28,0,42,83
SULAWESI BARAT,MAMASA,TABULAHAN,BURANA,1,20,134,1,12,1,0,39,0,47,88
